frame,timestamp,capture_ms,undistort_ms,depth_ms,ground_ms,path_ms,total_ms
0,1780947620.1497018,62.15984799996477,2.2188290000713096,41.061586999944666,2.865529000018796,288.9595990000089,335.10554400004366
1,1780947620.3951273,63.69188199994369,4.275690999975268,40.55608700002722,3.2246120000536393,197.11093199998686,245.167322000043
2,1780947620.4656105,1.1962129999574245,1.7721709999705126,42.819508999969,5.324438000002374,19.99038799999653,69.90650599993842
3,1780947620.7054377,0.7535550000739022,3.155775999971411,42.6063749999912,5.245122000019364,188.477417999934,239.48469099991598
4,1780947620.9804854,52.22137499993096,5.358790999935081,42.2405520000666,11.099145999992288,215.76517899995906,274.46366799995303
5,1780947621.1934028,116.96968899991589,4.966985000010027,40.95785200001956,4.9262989999760975,161.67558699999063,212.5267229999963
6,1780947621.5507975,99.60414199997558,2.4764820000200416,41.672940000012204,5.797430000029635,307.1758769999633,357.1227290000252
7,1780947621.7146518,2.3851100000911174,6.398536000006061,41.95079800001622,4.5295300000134375,110.66441399998439,163.5432780000201
8,1780947621.935737,56.96912500002327,3.58489699999609,42.62494299996433,8.41593399991325,165.92603599997346,220.55180999984714
9,1780947622.1559193,26.589513999965675,2.952420000042366,42.381528999953844,3.9918329999864,170.35480100003042,219.68058300001303
10,1780947622.394971,42.46680300002481,3.566636999948969,40.47316500009401,4.3145799999138035,190.24334499999895,238.59772699995574
11,1780947622.4611676,1.2551030000622632,5.168543999957365,40.24653000010403,6.0936020000781355,14.306234000059703,65.81491000019923
12,1780947622.7142766,131.10512299999755,2.326164000010067,41.86712299997453,6.307070000048043,202.20987699997295,252.71023400000558
13,1780947622.9247406,126.72746800001278,1.8847089999098898,43.757314000004044,3.9163850000250022,160.5908520000412,210.14925999998013
14,1780947623.1359744,117.96040299998367,3.680509999981041,40.92463899996801,4.291708999971888,161.90573200003655,210.8025899999575
15,1780947623.5448148,67.76668499992411,1.965932999951292,40.95307700004014,3.093829000022197,361.693222000099,407.70606100011264
16,1780947623.7717898,73.80424800010132,2.3660539999355024,41.60318499998539,5.769260000079157,176.78282500003206,226.5213240000321
