frame,timestamp,capture_ms,undistort_ms,depth_ms,ground_ms,path_ms,total_ms
0,1780935682.3158045,1.8461039999237983,1.175644000113607,39.93058699984431,4.214760999957434,11.105123999868738,56.42611599978409
1,1780935682.3706348,56.80622599993512,0.911478000034549,41.18228600009388,3.0512099999668862,9.532907999982854,54.67788200007817
2,1780935682.4213157,42.24224499989759,0.9626629998820135,41.118248999964635,3.6390230000051815,4.636371000060535,50.356305999912365
3,1780935682.4708843,50.582656999949904,1.1044210000363819,41.137341999956334,2.8910619998896436,4.222836000053576,49.355660999935935
4,1780935682.5207777,49.34734700009358,0.9308109999892622,41.13037899992378,3.3564320001460146,4.294760999982827,49.71238300004188
5,1780935682.573257,1.739752000048611,1.1715139999068924,42.276800000081494,4.069558999844958,4.7403149999354355,52.25818799976878
6,1780935682.6238072,49.215698999887536,1.0731069999110332,41.27535899988288,3.3226349999040394,4.655316000025778,50.32641699972373
7,1780935682.6945877,50.6328050000775,1.1578660000850505,41.04421299985006,3.2895800000005693,25.050884999927803,70.54254399986348
8,1780935682.746508,42.372576999923695,1.2111250000543805,41.27584099978776,3.9568549998421076,4.871462999972209,51.31528399965646
9,1780935682.7992346,51.824077999981455,1.1734959998648264,41.15747199989528,4.931962000000567,5.1949799999420065,52.45790999970268
10,1780935682.855141,43.854775999989215,1.4083279997976206,42.52455799996824,4.128761999936614,7.552341000064189,55.61398899976666
11,1780935682.9082017,54.79332599998088,1.0669579999103007,42.04652399994302,3.012173000115581,6.759974000033253,52.885629000002154
